batter_name,batter_id,AVG_FF,AVG_FS,AVG_CU,AVG_FC,AVG_SI,AVG_SL,OBP_FF,OBP_FS,OBP_CU,OBP_FC,OBP_SI,OBP_SL,SLG_FF,SLG_FS,SLG_CU,SLG_FC,SLG_SI,SLG_SL
Martin Maldonado,455117,0.2,0.25,0.09090909090909091,0.2727272727272727,0.22857142857142856,0.1724137931034483,0.23809523809523808,0.25,0.09090909090909091,0.4666666666666667,0.25,0.2,0.3333333333333333,0.5,0.18181818181818182,0.5454545454545454,0.2857142857142857,0.27586206896551724
Andrew McCutchen,457705,0.18471337579617833,0.3076923076923077,0.23684210526315788,0.38461538461538464,0.24770642201834864,0.23076923076923078,0.26704545454545453,0.35714285714285715,0.2564102564102564,0.5,0.344,0.3548387096774194,0.3503184713375796,0.6923076923076923,0.3157894736842105,0.46153846153846156,0.3119266055045872,0.3717948717948718
Tommy Pham,502054,0.23931623931623933,0.2727272727272727,0.14285714285714285,0.2727272727272727,0.2708333333333333,0.23333333333333334,0.3877551020408163,0.3333333333333333,0.13793103448275862,0.3055555555555556,0.34579439252336447,0.32857142857142857,0.41025641025641024,0.7272727272727273,0.14285714285714285,0.48484848484848486,0.3541666666666667,0.4166666666666667
Paul Goldschmidt,502671,0.3087248322147651,0.25,0.2857142857142857,0.28,0.25252525252525254,0.26666666666666666,0.3719512195121951,0.3142857142857143,0.34782608695652173,0.35714285714285715,0.29245283018867924,0.3037974683544304,0.4899328859060403,0.3125,0.5238095238095238,0.36,0.4444444444444444,0.4266666666666667
Travis D'Arnaud,518595,0.1917808219178082,0.0,0.0,0.058823529411764705,0.25,0.2571428571428571,0.25925925925925924,0.0,0.18181818181818182,0.15789473684210525,0.2894736842105263,0.3333333333333333,0.3287671232876712,0.0,0.0,0.058823529411764705,0.3611111111111111,0.4857142857142857
DJ LeMahieu,518934,0.3611111111111111,0.5,0.14285714285714285,0.2727272727272727,0.09523809523809523,0.3,0.43902439024390244,0.5,0.14285714285714285,0.2727272727272727,0.2692307692307692,0.36363636363636365,0.4444444444444444,0.5,0.14285714285714285,0.2727272727272727,0.09523809523809523,0.4666666666666667
Wilmer Flores,527038,0.2662337662337662,0.0,0.19047619047619047,0.125,0.3225806451612903,0.18666666666666668,0.3313953488372093,0.07692307692307693,0.2608695652173913,0.3125,0.373134328358209,0.19736842105263158,0.45454545454545453,0.0,0.23809523809523808,0.25,0.45161290322580644,0.3333333333333333
Marcell Ozuna,542303,0.24793388429752067,0.14285714285714285,0.13793103448275862,0.2608695652173913,0.3425925925925926,0.18518518518518517,0.37748344370860926,0.14285714285714285,0.375,0.41379310344827586,0.45038167938931295,0.29896907216494845,0.39669421487603307,0.23809523809523808,0.4827586206896552,0.8260869565217391,0.48148148148148145,0.37037037037037035
Jon Berti,542932,0.25,0.0,0.2,0.2,0.14285714285714285,0.125,0.325,0.2,0.2,0.3333333333333333,0.18181818181818182,0.125,0.25,0.0,0.4,0.2,0.14285714285714285,0.125
Marcus Semien,543760,0.2289156626506024,0.0,0.23529411764705882,0.2558139534883721,0.2903225806451613,0.18823529411764706,0.3064516129032258,0.08333333333333333,0.3157894736842105,0.34615384615384615,0.39090909090909093,0.2653061224489796,0.41566265060240964,0.0,0.23529411764705882,0.3488372093023256,0.40860215053763443,0.32941176470588235
